Id, Artist, Type, Text
1, 鄧寄塵 (M/男), 0, 對唔住 ……
2, 不明 (X/不明), 0, 冇 事 冇 事 ……
3, 不明 (X/不明), 0, 喂 ！ 伙記 埋單 ！
4, 不明 (X/不明), 0, 哎吔 ！ 冇 咗 嘞 ……
5, 林鳳 (F/女), 0, 誒 ， 呢 間 百貨 咁 大 ， 睇 下 有 啲 咩 偷 先 ～ 爸爸 行 咗 去 邊 呢 ？ 唔 見 佢 嘅 …… 呀 ！ 係 呢道 ！
6, 林鳳 (F/女), 0, 爸爸 ！ 有 乜 好 睇 啫 ？ 嘥 晒 啲 時間 ！
7, 林鳳 (F/女), 0, 哎吔 ！ 個 爸爸 都 冇解 嘅 …… 好 偷 唔 偷 ！ 激 死 人 ！
8, 不明 (X/不明), 0, 嘩 ！ 人哋 偷 嘢 三 隻 手 ， 你 四 隻 手 ！ 咪 走 ！
9, 林鳳 (F/女), 0, 哎吔 ！ 你 咁 論盡 㗎 ！
10, 不明 (X/不明), 0, 呀 ！ 對唔住 呀 ！ 小姐 ！ 對唔住 呀 ！
11, 林鳳 (F/女), 0, 哼 ！
12, 林鳳 (F/女), 0, 我哋 都 要 買 ？ 唔 着數 ！ 有 咩 計仔 呢 ？ 呀 ！ 有 辦法 ！
13, 不明 (X/不明), 0, 阿 小姐 ！ 要 啲 咩 月餅 呢 ？ 呢道 好 靚 月餅 噃 ！ 買 幾 盒 咧 ！
14, 林鳳 (F/女), 0, 誒 ～ 你 盲 嘅咩 ？ 你 唔 見 我 阿媽 喺 嗰便 等 緊 月餅 咩 ？
15, 林鳳 (F/女), 0, 都 好 …… 同 我 攞 兩 盒 …… 雙 黃 蓮蓉 吖 ！ 我 驚 我 阿媽 唔 記得 ！
16, 不明 (X/不明), 0, 哦 ！ 好 ……
17, 女 (F/女), 0, 伙記 ！ 快 啲 同 我 包 喇 ！
18, 不明 (X/不明), 0, 哦 ！
19, 不明 (X/不明), 0, 小姐 呀 ！ 呢道 兩 盒 雙黃蓮蓉 ！
20, 林鳳 (F/女), 0, 入 埋 我 阿媽 數 得 嘞 ！
21, 不明 (X/不明), 0, 哦 ！ 好 ！
22, 林鳳 (F/女), 0, 我 走 先 嘞吓 ！ 拜拜 ！
23, 女 (F/女), 0, 買 多 啲 喇 ！
24, 林鳳 (F/女), 0, 嘩 ～ 陳 師奶 ， 乜 咁 早 賞月 㗎 ！
25, 女 (F/女), 0, 係 呀 ！ 陳 小姐 ！ 買 咁 多 餅 呀 ？
26, 林鳳 (F/女), 0, 誒 ～ 係 呀 ！
27, 林鳳 (F/女), 0, 爸爸 ！
28, 鄧寄塵 (M/男), 0, 買 啲 咩 嚟 呀 ？
29, 林鳳 (F/女), 0, 今日 中秋節 吖嘛 ！
30, 鄧寄塵 (M/男), 0, 我 知 吖 ！
31, 林鳳 (F/女), 0, 噉 咪 月餅 囉 ！ 重 係 你 生日 添噃 ！ 你 唔 記得 嗱 ？
32, 鄧寄塵 (M/男), 0, 呀 ！ 你 唔 講 起 我 都 唔 記得 添 ！
33, 鄧寄塵 (M/男), 0, 嘩 ～ 喺 ！ 正 ！
34, 林鳳 (F/女), 0, 爸爸 ！ 呢 對 五一 我 送 畀 你 做 生日 禮物 嘅 ！
35, 鄧寄塵 (M/男), 0, 哎 ～ 使乜 咁 破費 得㗎 ？ 如果 爸爸 要 㗎 話 呀 ！ 隨時 伸手 就 有 嘞嘛 ！
36, 林鳳 (F/女), 0, 你 估 我 使 出錢 㗎咩 ？ 我 都 係 順手 㗎 咋嘛 ！
37, 鄧寄塵 (M/男), 0, 我 都 有 件 禮物 送 過 你 呀吓 ！
38, 林鳳 (F/女), 0, 咩 嚟 㗎 ， 爸爸 ？
39, 鄧寄塵 (M/男), 0, 嗱 ！ 嘻 ， 呵 1
40, 林鳳 (F/女), 0, 爸爸 ！
41, 鄧寄塵 (M/男), 0, 你 估 你 重 細 呀 ？ 你 今年 十 九 歲 㗎嘞 ！
42, 林鳳 (F/女), 0, 爸爸 ！
43, 林鳳 (F/女), 0, 爸爸 ！ 你 真係 老 咗 好 多 啫 ！ 你 睇 你 有 幾多 白 頭髮 ？
44, 鄧寄塵 (M/男), 0, 吓 ！ 爸爸 一啲 都 唔 覺得 老 ！ 白 頭髮 有 遺傳性 㗎 ！ 呢 你 阿爺 吖 ， 廿幾 歲 有 白 頭髮 ！
45, 林鳳 (F/女), 0, 今晚 我哋 食 緊 個 月餅 呀 ， 全 靠 我 又 偷 又 騙 噉 呃 返嚟 㗎咋 ！
46, 鄧寄塵 (M/男), 0, 當然 喇 ！ 如果 我哋 兩 個 都 要 畀 錢 買 月餅 嘅 ， 重 成 世界 㗎咩 ？
47, 林鳳 (F/女), 0, 唔通 我哋 注定 永遠 做 小偷 嘅 …… 偷 人 嘢 係 犯罪 㗎 ！
48, 鄧寄塵 (M/男), 0, 偷 嘢 呢 ， 唔 錯 ～ 係 犯罪 嘅 ！ 小琪 ！ 不過 上帝 都 會 原諒 我哋 㗎噃 ！ 我哋 祇 係 識得 偷 嘢 ， 亦 可以 講 得 呢 ， 生活 壓逼 我哋 ！
49, 林鳳 (F/女), 0, 爸爸 ！
50, 鄧寄塵 (M/男), 0, 嗯 ？
51, 林鳳 (F/女), 0, 我哋 除 咗 做 小偷 ， 唔通 就 冇 其他 生存 嘅 辦法 㗎嘞咩 ？
52, 鄧寄塵 (M/男), 0, 噉 就 有 ， 唔 係 話 冇 ！ 不過 你 爸爸 ， 身材 咁 幼細 ， 動作 咁 靈敏 ， 噉 你 話 唔 做 小偷 嘞喎 ， 辜負 咗 上帝 呀 ， 創造 我 一 番 苦心 吖嘛 ， 係咪 吖 ！
53, 林鳳 (F/女), 0, 嗱 ！ 爸爸 ！ 有 件 事 我 唔 准 你 奸賴 㗎 ！
54, 鄧寄塵 (M/男), 0, 哈 ！ 我 幾時 奸賴 過 你 呀 ？
55, 林鳳 (F/女), 0, 你 咪 應承 過 我 嘅 …… 假如 我哋 儲 到 一 千 文 ， 你 就 送 我 去 才展 學藝 ， 嗰陣時 你 同 我 咪 唔 使 做 小偷 囉 ！
56, 鄧寄塵 (M/男), 0, 係 吖 ！ 爸爸 應承 得 到 ， 做 得 到 ！ 如果 有 一 千 文 呢 ， 我哋 即刻 唔 做 小偷 ！
57, 林鳳 (F/女), 0, 嗱 ！ 爸爸 你 應承 我 㗎 ！ 千祈 唔 好 唔 記得 呀 ！
58, 鄧寄塵 (M/男), 0, 聽日 即刻 改行 ！ 不過 大拿拿 一 千 文 喎 ， 小琪 ！
59, 林鳳 (F/女), 0, 好 ！ 聽日 扚起心肝 ！ 無論如何 都 偷 一 千 文 返嚟 畀 你 ！ 不過 …… 一 千 文 ……
60, 鄧寄塵 (M/男), 0, 二 十 、 一 百 、 百 五 、 二 百 、 二 百 五 、 四 百 、 五 百 、 六 百 、 七 百 五 、 八 百 、 八 百 五 、 九 百 、 九 百 九 。
61, 鄧寄塵 (M/男), 0, 嘩 …… 阿小琪 ， 爸爸 對眼 ， 唔 係 眼花 吖嘛 ， 吓 ？
62, 鄧寄塵 (M/男), 0, 小琪 ！ 點解 會 有 咁 多 錢 㗎 ？ 爸爸 一啲 都 唔 知道 ！
63, 林鳳 (F/女), 0, 哼 …… 畀 你 知道 重有 嘅 …… 我 瞞 住 你 儲 咗 年 幾 㗎嘞 ！
64, 林鳳 (F/女), 0, 爸爸 ！ 我哋 唔 可以 一 世 都 做 小偷 㗎 ！
65, 林鳳 (F/女), 0, 將來 我 學 到 門 手藝 ， 咪 一樣 可以 養 你 ！
66, 鄧寄塵 (M/男), 0, 噉 就係 嘅 …… 但係 呢 個 存款簿 ， 得 九 百 九 ， 唔 夠 一 千 喎 ！ 我 知 呃 ！ 擔保 唔 會 失手 ！
67, 鄧寄塵 (M/男), 0, 喂 ！ 噉 你 打算 邊 一 舍 人家 呀 ？
68, 林鳳 (F/女), 0, 偷 到 邊道 咪 邊道 囉 ！
69, 鄧寄塵 (M/男), 0, 哼 ！ 哎 ！ 做 生意 呀 ， 一定 要 有 計畫 㗎嘛 ！ 嗱 ， 如果 你 想 一 個 單拖 去 呢 ， 你 聽 爸爸 指揮 ！
70, 林鳳 (F/女), 0, 我 一於 聽 你 指揮 ！
71, 鄧寄塵 (M/男), 0, 嗯 …… 呀 ！ 東方街 十 三 號 ， 姓 施 嘅 ， 呢 舍 人家 呢 ， 又有 油水 ， 全 間 屋 呢 ， 得 個 女人 ， 呢 間 呢 ， 最 合 你 嘅 理想 ！
72, 林鳳 (F/女), 0, 呀 ～ 嗰 間 小 洋房 呀嘛 ？
73, 鄧寄塵 (M/男), 0, 嗯 ……
74, 林鳳 (F/女), 0, 好 易 上落 㗎咋 ！
75, 鄧寄塵 (M/男), 0, 嗯 …… 嗱 ， 噉 你 瞓 下 先 ！ 吓 ！ 休息 下 ！ 養 足 精神 ， 到時到候 呢 ， 爸爸 叫醒 你 ！
76, 司馬華龍 (M/男), 0, 打令 ， 飲 杯 酒 吖 ！
77, 李香琴 (F/女), 0, 方仔 ， 我 實在 冇 辦法 再 應付 嘞 ！ 你哋 睇 下 喇 ！ 我 銀行 嘅 存款 ， 都 經已 畀 晒 你哋 嘞 ！
78, 司馬華龍 (M/男), 0, 打令 呀 ， 我 都 冇 辦法 㗎 ！ 祇要 你 肯 聽 戴 大哥 嘅 說話 ， 噉 我哋 就 可以 永遠 在 一起 ， 唔通 你 唔 信 我 係 真心 愛 你 嘅 ……
79, 李香琴 (F/女), 0, 你 唔 好 再 講 呢 啲 說話 喇 ！ 我 唔 錯 都 經已 錯 咗 嘞 ！ 求其 我 力量 做 得 到 ， 我 肯 去 做 嘅 ！ 戴 先生 ， 唔 知 你 想 點 呢 ？
80, 李鵬飛 (M/男), 0, 你 銀行 冇 晒 存款 ， 我 知 ！ 不過 ， 你 嘅 丈夫 ， 施 先生 有 呃 ！ 哈 …… 阿四 姑娘 呀 ？
81, 黎雯 (F/女), 0, 吓 ？
82, 李鵬飛 (M/男), 0, 你 將 我 個 計畫 ， 對 施 太 講 下 ！
83, 黎雯 (F/女), 0, 哦 ！
84, 黎雯 (F/女), 0, 施 太 ！ 我哋 大家 都係 女人 ， 我 好 明白 嘅 …… 頭先 你 都 聽見 方仔 話 嘅喇 ！ 佢 而家 都 好 愛 你 㗎噃 ！
85, 李香琴 (F/女), 0, 四 姑娘 ， 唔 知 戴 先生 嘅 計畫 ……
86, 黎雯 (F/女), 0, 哦 ～ 我哋 大哥 嘅 計畫 ， 無非 都 係 想 成全 你 同 阿方仔 嘅啫 ！ 大哥 都 係 為 咗 你哋 兩 個 人 嘅 咋噃 ！
87, 黎雯 (F/女), 0, 佢 知道 你 位 施 先生 ， 牽高個船就埋頭 㗎嘞 ！ 如果 你 依照 我哋 嘅 計畫 去 做 呢 ， 你 同 阿方仔 ， 就 可以 做 一 對 恩愛 嘅 夫妻 喇 ！
88, 李鵬飛 (M/男), 0, 嗰陣 ， 我 可以 當 你哋 兒女 一樣 ， 我 送 你哋 去 渡蜜月 ！
89, 李香琴 (F/女), 0, 噉 ， 實情 你哋 想 我 點 做 吖 ？
90, 李鵬飛 (M/男), 0, 喀 ！ 施 先生 返 嚟 ， 你 殺 咗 佢 ！ 一切 嘅 後果 由 我 負責 ！ 我 嘅 計畫 ， 非常 安全 ！ 對 你 一 啲 危險 都 冇 ！
91, 李香琴 (F/女), 0, 殺人 係 犯法 㗎噃 ！ 而且 佢 係 我 嘅 丈夫 添 ！
92, 黎雯 (F/女), 0, 施 太 ！ 總而言之 ， 施 先生 死 咗 ， 任何人 都 唔 會 疑心 你 係 兇手 嘅 ！
93, 李香琴 (F/女), 0, 你哋 要 我 殺死 自己 嘅 丈夫 ！ 我 做 唔 到 ！ 我 萬萬 做 唔 到 ！
94, 李鵬飛 (M/男), 0, 施 太 ！ 如果 你 做 唔 到 ， 我 睇怕 你 會 身敗名裂 噃 ！ 丈夫 唔 諒解 你 ， 社會 亦 唔 容許 你 ！
