Id, Artist, Type, Text
1, 劉克宣 (M/男), 0, 振聲 呀 ！
2, 林家聲 (M/男), 0, 良叔 ， 飲茶 嘞 ！
3, 劉克宣 (M/男), 0, 你 斟茶 畀 我 飲 呀 ， 你 就 唔 好 咳 喇 ！
4, 劉克宣 (M/男), 0, 你 咳 咗 啲 微菌 入 晒 啲 茶 道 ， 噉 我 飲 咗 你 杯 茶 ， 咪 即係 我 都 要 變 肺癆 ？ ！
5, 林家聲 (M/男), 0, 你 估 我 想 咳 㗎咩 ？ 自從 我 嗰 次 失手 之後 ， 呢 ， 就 畀 佢哋 打 成 我 噉樣 嘞 ！
6, 不明 (X/不明), 0, 哦 ！ 三兩 下 都 捱 唔 起 ， 而家 話 我哋 打 親 佢 喎 ， 大哥 ！
7, 劉克宣 (M/男), 0, 哼 ！ 噉 你 而家 見 點 呀 ？
8, 林家聲 (M/男), 0, 我 覺得 一 咳 起 上嚟 ， 呢道 就 痛 ！
9, 劉克宣 (M/男), 0, 嗯 ？ 熱氣 都 唔 定 啫 ！
10, 林家聲 (M/男), 0, 唔 係 咧 ， 蘇 ， 你 不如 畀 啲 錢 我 ， 睇 下 醫生 ， 去 照 下 個 肺 喇 ！
11, 劉克宣 (M/男), 0, 哼 ！ 阿聲 ！
12, 劉克宣 (M/男), 0, 我 執 你 返嚟 養 ， 養 大 你 呢 ， 就 希望 你 幫 我 手 搵世界 嘅 …… 哼 ， 你 睇 你 個 衰樣 吖 ， 一啲 精神 都 冇 呀 ！
13, 劉克宣 (M/男), 0, 我 實在 唔 嫌 你 食 貴 啲 米 呀 ， 都 已經 唔 講 咁 多 嘞 ！
14, 劉克宣 (M/男), 0, 你 重 問 我 攞 錢 添 ！ 唏 ！
15, 劉克宣 (M/男), 0, 你 啲 噉 嘅 嘢 真係 神憎鬼厭 討厭 討厭 ， 躝 返 入去 工人房 ， 咪 阻 住 我 ！ 嚟 …… 吓 ！ 夫 ……
16, 不明 (X/不明), 0, 四 。
17, 不明 (X/不明), 0, 大哥 ！ 我 睇 呢 個 病君 都 唔 幫 得 你 幾 耐 手 …… 不如 我哋 轉 下 方針 ， 搵 個 女仔 ， 用 舉娼 嚟 出馬 ！
18, 劉克宣 (M/男), 0, 噉 都 好 喎 ， 吓 ？ 係 喎 ！ 噉 就 邊道 都 搵 女人 ！
19, 林沃 (M/男), 0, 呀 ！ 我 諗起 嘞 ！ 呢 ！ 時時 同 我哋 借 錢 嗰 個 女仔 呢 ， 個 樣 生 得 唔 錯 㗎 ！ 扮 起 上嚟 真係 好 大體 㗎 ！
20, 劉克宣 (M/男), 0, 唔 知 佢 肯 唔 肯 制 呢 ！ 吓 ？
21, 林沃 (M/男), 0, 哦 …… 想 辦法 出 綽頭 坤 佢 嚟 ！
22, 劉克宣 (M/男), 0, 哦 ， 噉 你 即管 想 下 辦法 喇 ！ 吓 ？
23, 南紅 (F/女), 0, 姨媽 呀 ， 姨媽 ！ 啲 藥 煲 好 飲 得 㗎嘞 ！ 嚟 吖 ！ 我 扶 起 你 飲 ！
24, 南紅 (F/女), 0, 姨媽 ， 姨媽 ！ 你 見 點 呀 ？ 姨媽 ！
25, 梁淑卿 (F/女), 0, 我 …… 好 辛苦 呀 ！
26, 南紅 (F/女), 0, 姨媽 ！ 不如 我 請 個 西醫 返嚟 同 你 打 枝 針 喇 ！ 打 咗 針 你 就 舒服 㗎嘞 ！ 吓 ？
27, 梁淑卿 (F/女), 0, 我 都 病 咗 幾 多 月 嘞 ！ 醫 到 窮窮掘掘 ， 你 為咗 服侍 我 ， 又 冇 返工 ！ 你 邊道 有 錢 請 西醫 吖 ！
28, 南紅 (F/女), 0, 不如 我 又 去 洪叔 商量 下 喇 ！
29, 梁淑卿 (F/女), 0, 唔 …… 好 嘞 ！ 你 借 埋 咁 多 貴利 ， 將來 你 點樣 還 得 甩 呢 ？ 姨媽 個 病 ， 都 係 唔 會 好 㗎嘞 ！
30, 南紅 (F/女), 0, 姨媽 ！ 你 千祈 唔 好 噉 講 ！
31, 南紅 (F/女), 0, 呢 十 幾 年 嚟 ， 你 捱 盡 嚟 養 大 我 ， 我 就算 捱 到 死 去 借 貴利 ， 我 都 要 搵 個 西醫 嚟 睇 下 你 我 至 心息 嘅 ！
32, 南紅 (F/女), 0, 呀 ！ 不如 我 而家 去 咖啡檔 搵 阿洪叔 ， 你 安心 喺 道 抖 下 喇 ， 吓 ！
33, 梁淑卿 (F/女), 0, 阿紅 ！ 你 唔 好 去 ！ 我 而家 好 辛苦 ， 你 搵 到 醫生 返嚟 ， 我 都 怕 死 嘞 ！
