Id, Artist, Type, Text
1, 男 (M/男), 0, 陳 小姐 嚟 咋嘛 ！
2, 夏萍 (F/女), 0, 喂 ！ 你哋 成 班 嘢 喺 道 鬼鬼鼠鼠 噉 做 咩 呀 ？
3, 男 (M/男), 0, 噉 啱 嘞 ！ 呢 件 事 汝 都 有份 嘅 ！ 大家 傾 下 先 ！
4, 夏萍 (F/女), 0, 傾 咩 呀 ？
5, 男 (M/男), 0, 講 埋 落去 喇 ！
6, 男 (M/男), 0, 今日 老虎 都 要 搞掂 佢 㗎嘞 ！
7, 男 (M/男), 0, 如果 大班 周 再 唔 出糧 畀 我哋 呢吓 ……
8, 男 (M/男), 0, 實行 罷工 㗎嘞 ！
9, 男 (M/男), 0, 冇 錯 嘞 ！
10, 夏萍 (F/女), 0, 好 嘞 …… 你哋 咪 噉 至 得㗎 ！ 佢 都 係 搞 唔 掂 ， 先至 爭 我哋 人工 㗎啫 ！
11, 男 (M/男), 1, 大班 周 呢 份 人 ， 想 將 我哋 嚟 我 死 呀 ！ 佢 每逢 有 馬 跑 ， 佢 就 有 錢 鋪草皮 ， 若果 有 外商 嚟 ， 飲飲食食 有 錢 畀 呀 ！ 投機 揸劄 就 有 錢 ！ 更 有 錢 炒 地皮
12, 男 (M/男), 0, 哈 ！ 我 睇 佢 整色整水 喇 ！ 喂 ！ 羅貴 ！ 你 就 係 佢 親戚 嚟㗎 ！ 噉 你 估 佢 今日 返 唔 返工 呢 ？
13, 男 (M/男), 0, 我 我 我 我 點 知 呀 ？ 不過 逢 親 出糧 嘅 日子 ， 佢 多數 唔 返 嚟 㗎噃 ！
14, 夏萍 (F/女), 0, 我 話 佢 梗 返 嚟 㗎 ！
15, 眾 (X/不明), 0, 點解 呢 ？
16, 夏萍 (F/女), 0, 嗰 個 日本 人 田木 ， 佢 臨 跙 嗰陣 ， 話 最 遲 呢 個 月尾 ， 就 有 電報 返 嚟 ， 佢 叫 我哋 公司 代理 嗰 隻 萬靈丹 ， 噉 大班 今日 梗 返 嚟 等 電報 㗎嘛 ！
17, 男 (M/男), 0, 哦 ！ 如 佢 唔 返 ， 噉 我哋 點 呀 ， 吓 ？
18, 男 (M/男), 0, 幾大 想 個 辦法 ， 坤 佢 返 嚟 喇嘛 ！
19, 女 (F/女), 0, 嗰 邊 ！
20, 女 (F/女), 0, Hello ！ 發達公司 呀 ！ 搵 邊個 呀 ？ 吓 ？
21, 梁醒波 (M/男), 0, 你 係 貴 呀嘛 ？ 我 係 周 大班 呀 ！
22, 女 (F/女), 0, 喂 ！ 大班 周 呀 ！
23, 女 (F/女), 0, 大班 周 呀 ？ …… 周 大班 呀 ？ 有 咩 吩咐 呀 ？ 我 係 阿貴 呀 ！
24, 梁醒波 (M/男), 0, 哎吔 ！
25, 梁醒波 (M/男), 1, 你 個 死人 貴 ， 咪 咁 高聲 嗌 ！ 你 是否 想 通知 債主 吖 ？ 你 絕不 通氣 真 該死 ！
26, 梁醒波 (M/男), 0, 我 炒 你 個 魷魚 噉 至 得 ！
27, 譚蘭卿 (F/女), 0, 哎吔 ！ 哎吔 ！
28, 譚蘭卿 (F/女), 1, 撞鬼 你 ！ 而家 作死 咩 ？ 周申都 ， 你 亂 打 我 大髀 ， 你 何故 開聲 話 炒 我 魷魚 ？
29, 梁醒波 (M/男), 0, 唔係 …… 唔係 ！
30, 梁醒波 (M/男), 1, 我 條 氣 頂 親 ， 話 炒 人 王貴 嘅 魷魚
31, 譚蘭卿 (F/女), 0, 吓 ？
32, 譚蘭卿 (F/女), 1, 須 知 人 ， 王貴 ， 係 我 死 咗 嘅 結拜 家姐 個 姑媽 嘅 姨婆 個 新抱 嘅 契女 裙腳妹 ， 一心 介紹 ， 佢 嚟 ， 若然 你 炒 佢 魷魚 ， 即是 唔 畀面 我 死 咗 嘅 結拜 家姐 個 姑媽 嘅 姨婆 個 新抱 嘅 契女 裙腳妹 ， 太過 唔 對 得 我 住 噃 ！
33, 梁醒波 (M/男), 0, 算 我 唔 啱 係喇 ， 吓 ！
34, 梁醒波 (M/男), 1, 噉 我 老婆大人 死 咗
35, 譚蘭卿 (F/女), 0, 我 啋啋 ！ 你 死 呀 ！
36, 梁醒波 (M/男), 0, 唔 係 ……
37, 梁醒波 (M/男), 1, 我 老婆大人 嘅 死 咗 家姐 個 姑媽 個 姨婆 個 新抱 嘅 契女 裙腳妹 介紹 嚟 嘅 阿貴仔
38, 梁醒波 (M/男), 0, 貴仔哥 ！
39, 梁醒波 (M/男), 0, 噉 啱 喇嘛 ？ 大人 ？
40, 梁醒波 (M/男), 0, 綠野株式會社 叫 我 代理 救急萬靈丹 嗰 張 電報
41, 梁醒波 (M/男), 1, 你 收 呀 ～ 到 未 ？
42, 女 (F/女), 0, 代理 萬靈丹 嗰 封 電報 呀嘛 ？
43, 男 (M/男), 0, 哦 ～ 封 電報 呀嘛 ？ 啱啱 嚟 咗 嘞 ！
44, 夏萍 (F/女), 0, 喂 ！ 你哋 做 咩 呃 佢 啫 ？
45, 男 (M/男), 0, 唔 呃 佢 唔 返 嚟 㗎嘛 ！
46, 男 (M/男), 0, 係 …… 周 大班 呀 ？ 你 即刻 返 嚟 喇 ！
47, 梁醒波 (M/男), 0, 吓 ？ 哦 ！ 得 嘞 得 嘞 ， 我 而家 即刻 返 嚟 ！
48, 梁醒波 (M/男), 0, 救急萬靈丹 ， 得 咗 ！ 得 咗 ！ 得 咗 ！
49, 譚蘭卿 (F/女), 0, 哎吔 ！ 你 撞癲 呀 ？ 賣鹹鴨蛋 ！ 成 朝 打 我 ， 打完 一 次 又 一 次 ！ 而家 算 點 呀 你 ？
50, 梁醒波 (M/男), 0, 咪 咧 ！ 有 好 消息 呀 ！
51, 梁醒波 (M/男), 1, 確 快意 ！ 確 快意 ！ 令 我 興奮 鴻運 至 ， 你 話 我 以後 有 乜 死 得㗎 ， 風生水起 ， 要 鬧 架子 ， 呢 趟 真正 係 一 筆 大 生意 ！
52, 梁醒波 (M/男), 1, 我 亦 行運 矣 ！ 有賺冇蝕，有理冇害 共 佢 經銷 一切 ！
53, 梁醒波 (M/男), 0, 哈 ！ 記得 嗰 個 睇相佬 都 話 ： 佢 話 我 一 踏入 到 四 字 呢 就 行 鼻運 ！ 嘩 ！ 個 鼻 真係 順 住 落 嘅 ！ 打令 ！ 打令 呀 ！ 嚟 嘞 …… 做 咩 呀 ？
54, 譚蘭卿 (F/女), 0, 冇 事 呀 你 ！ 你 乜鬼 咁 好 ！
55, 梁醒波 (M/男), 0, 唔 係 ～ 梗係 好 喇 ！ 你 有冇 散紙 畀 住 八 九 十 文 嚟 ……
56, 譚蘭卿 (F/女), 0, 想 死 呀 你 ！ 哼 ！
