Id, Artist, Type, Text
1, 不明 (X/不明), 0, …… 人 嚟 㗎嘞 ！
2, 不明 (X/不明), 0, 肥佬 …… 真係 畀 你 …… 快 啲 喇 ！ 唔 等 㗎嘞 ！ 快 啲 上去 喇 ！
3, 不明 (X/不明), 0, …… 嚟 嘞 ！ 乜 你 咁 耐 至 嚟 㗎 你哋 ！
4, 不明 (X/不明), 0, 十 六 樓 喎 ！
5, 不明 (X/不明), 0, 行 到 索 晒 氣 嘞 ！
6, 不明 (X/不明), 0, 阿祥 ， 過 去 檢查 睇 下 ！
7, 不明 (X/不明), 0, 快 啲 喇 ！
8, 不明 (X/不明), 0, 原來 就係 你 兩 個 嘢 ， 喺 我哋 ……
9, 不明 (X/不明), 0, 乜 你 兩 個 咁 衰 㗎 ！ 阻 住 個 電梯 大家 上落 ！
10, 不明 (X/不明), 0, 衰仔 ！ 如果 冇 錢 我 就 借 兩 文 過 你 吖 ！ 使乜 霸 住 個 電梯 咁 衰 吖 ！
11, 不明 (X/不明), 0, 你 重 企 ！
12, 不明 (X/不明), 0, 走 咪 走 喇 ！ 好 巴閉 呀 ？
13, 眾 (X/不明), 0, 走 喇 ！ 正 衰仔 呀 ！ 阻礙 工作 呀 ！
14, 不明 (X/不明), 0, 喂 ！ 阿王超 呀 ？ 頭先 個 女仔 呢 ， 認真 夠 熱情 ！ 如果 靚 啲 吖吓 ， 我 都 想 ……
15, 張英才 (M/男), 0, 哎 ！ 嗰 啲 嗰 嘅 飛女 係 你 先 有 興趣 嘅啫 ！
16, 不明 (X/不明), 0, 哈 你 懶理 我 咁 多 啫 ！ 各有所好 吖嘛 ！
17, 不明 (X/不明), 0, 喂 你 兩 個 唔 好 掛 住 講 好 唔 好 ？ 做完 嘢 先 咧 ！
18, 不明 (X/不明), 0, 舊美 呀 ？
19, 不明 (X/不明), 0, 喂 ！ 呢道 就 雖然 高 啲 ， 不過 都 幾 靜 ， 都 可以 瞓 得 覺 落 噃 ， 呵 ？
20, 不明 (X/不明), 0, 梗 係 喇 ！ 幾大 都 瞓 到 聽日 十 二 點鐘 先 起身 呀 ！
21, 不明 (X/不明), 0, 呢 間 屋 我 介紹 㗎 ， 有 衰 嘅 …… ？
22, 不明 (X/不明), 0, 冇 衰 㗎 ！ 有 衰 呢 ？ 自己 攞嚟衰 ！ 咪 執輸 ！ 沖涼 先 ！
23, 不明 (X/不明), 0, 咦 ？ 冇 水 嘅 ……
24, 不明 (X/不明), 0, 喂 ！ 王超 呀 ？ 冇 水 嘅 ……
25, 張英才 (M/男), 0, 你 都 癲 嘅 ！ 呢道 上午 供 水 㗎嘛 ！
26, 不明 (X/不明), 0, 喂 ！ 我哋 搬 咁 耐 嘢 ， 出 咁 多 汗 ， 冇 水 沖涼 ， 噉 咪 即係 醃 鹹魚 ！
27, 不明 (X/不明), 0, 阿良 呀 ， 你 話 係咪 吖 ？
28, 不明 (X/不明), 0, 哦 我 有 咩 所謂 啫 ？ 沖 唔 沖涼 我 都 唔 緊要 嘅 ……
29, 不明 (X/不明), 0, 我 唔 沖 唔 得 吖 ！
30, 不明 (X/不明), 0, 趁 靜靜地 瞓 返 覺 喇 ！
31, 不明 (X/不明), 0, 哎 ！ 快 啲 喇 ！ 陳 太 ！ 啲 麻雀 都 攤凍 晒 㗎 ！
32, 女 (F/女), 0, 係 喇 ！ 我 尋晚 輸 咗 成 三 底 呀 ！ 今晚 我 唔 通宵 我 都 唔 收科 呀 ！
33, 不明 (X/不明), 0, …… 你 嘅 好 介紹 嘞 ！ 嗱 你 話 靜 喇 ！ 噉 點 瞓 呀 ！
34, 不明 (X/不明), 0, 唏 ！ 有 乜 所謂 吖 ？ 着 返 舊時 嗰 個 槓 喇 ！
35, 不明 (X/不明), 0, 邊 槓 呀 ！
36, 不明 (X/不明), 0, 搵 綿花 塞 住 兩 隻 耳仔 喇 ！ 去 喇 ！ 瞓 喇 ！
37, 不明 (X/不明), 0, 係 噉 㗎嘞 ！
38, 不明 (X/不明), 0, 仔仔 ！ 你 咪 成日 黐 住 阿表姐 得㗎 ！ 表姐 聽日 重要 返工 㗎 ！
39, 男 (M/男), 0, 嗯 ， 我 唔 制 ， 我 要 表姐 陪 我 瞓 ， 講 古仔 畀 我 聽 ！
40, 不明 (X/不明), 0, 哈 ！ 你 咁 曳 呀嘛 ？ 我 打 你 㗎吓 ！
41, 夏萍 (F/女), 0, 姑媽 呀 ？ 我 等 佢 瞓 咗 先至 跙 喇 ！
42, 女 (F/女), 0, 哦 ～ 噉 好 呃 ！ 噉 你 不如 今晚 唔 好 跙 喇 ！ 喺 處 瞓 一 晚 喇 ！
43, 夏萍 (F/女), 0, 嗱 ！ 基仔 ， 講明 先 呀吓 ！ 我 一 講完 古仔 就要 即刻 瞓 㗎嘞噃 ！ 嚟 吖 ！
