Id, Artist, Type, Text
1, 周坤玲 (F/女), 0, 表哥 ！
2, 羅劍郎 (M/男), 0, 吓 ？
3, 周坤玲 (F/女), 0, 幾 多 錢 呀 ！
4, 羅劍郎 (M/男), 0, 重 同 我 講笑 ？ 表妹 ， 去 罷喇 ， 唔 使 嘞 ！
5, 周坤玲 (F/女), 0, 噉 唔該 你 囉喎 ！ 再見 喇吓 ！
6, 羅劍郎 (M/男), 0, 再見 ！
7, 葉仁甫 (M/男), 0, 呀喂喂喂 ， 誒 ， 返 去 屋 …… 我 屋企 就 ， 幾 多 錢 呀 ！
8, 羅劍郎 (M/男), 0, 對唔住 喎 ， 先生 ……
9, 葉仁甫 (M/男), 0, 吓 ？
10, 羅劍郎 (M/男), 0, 我 唔 知 你 屋企 喺 邊道 喎 。
11, 葉仁甫 (M/男), 0, 呀 ， 係 呀 …… 呢 ， 好 近 㗎咋 ， 兩 條 街 就係 㗎嘞 ！
12, 羅劍郎 (M/男), 0, 喔 ～ 兩 條 街 呀話 ？
13, 葉仁甫 (M/男), 0, 係 ……
14, 羅劍郎 (M/男), 0, 誒 ， 起碼 都 個 半 㗎嘞 ！
15, 葉仁甫 (M/男), 0, 個 半 呀 ？
16, 羅劍郎 (M/男), 0, 吓 。
17, 葉仁甫 (M/男), 0, 喂 ， 一 …… 一 文 得 啩 。
18, 羅劍郎 (M/男), 0, 對唔住 呀 ， 冇 價 講 㗎 。
19, 葉仁甫 (M/男), 0, 冇 …… 個 二 喇 ， 唏 …… 吓 ？
20, 羅劍郎 (M/男), 0, 好 老實 咧 ……
21, 葉仁甫 (M/男), 0, 喂 ！ 個 三 …… 個 四 喇唏吔 ！
22, 羅劍郎 (M/男), 0, 都 話 冇 價 講 㗎嘞 ！
23, 葉仁甫 (M/男), 0, 冇 價 講 …… 唏 ， 我 不如 行 罷嘞 ！
24, 羅劍郎 (M/男), 0, 喀 ！ 睇 你 都 唔 係 係 坐 車 㗎喇 ， 爭 一 毫子 都 慢慢 講 。
