Id, Artist, Type, Text
1, 紅線女 (F/女), 0, 先生 ！ 呢 條 街 喺 邊道 去 㗎 ？
2, 羅劍郎 (M/男), 0, 哦 ！ 呢 條 街 呀 ？ 就 轉彎 就係 㗎嘞 ！
3, 紅線女 (F/女), 0, 哦 ！ 唔該 你 呀吓 ！
4, 紅線女 (F/女), 0, 搶嘢 呀 ……
5, 羅劍郎 (M/男), 0, 做 咩 呀 ， 你哋 ？
6, 男 (M/男), 0, 喂 ！ 大佬 ！ 睇 下 好 啩 ？
7, 羅劍郎 (M/男), 0, 咩 叫 睇 ……
8, 男 (M/男), 0, 喂 ！ 兄弟 幫手 ！
9, 羅劍郎 (M/男), 0, 追 ！
10, 紅線女 (F/女), 0, 先生 ！ 冇 打 親 你 吖嘛 ！
11, 羅劍郎 (M/男), 0, 冇 ， 冇 事幹 ！
12, 紅線女 (F/女), 0, 唔該 你 喇喎 ！
13, 羅劍郎 (M/男), 0, 乜 個 皮篋 係 你 㗎咩 ？
14, 紅線女 (F/女), 0, 係 呀 ！ 係 我 㗎 ！
15, 紅線女 (F/女), 0, 唔該 你 呀吓 ！
16, 羅劍郎 (M/男), 0, 唔 使 唔該 ！
17, 羅劍郎 (M/男), 0, 呀 ！ 小姐 呀 ？ 你 一 個 人 噉 行 ， 我 驚 嗰 班 人 又 試 吊 住 你 尾 嚟 搶 過 你 嘅 ， 不如 我 送 你 返去 罷喇 ！
18, 紅線女 (F/女), 0, 哦 唔該 你 吖 ！
19, 羅劍郎 (M/男), 0, 呀 ！ 呢 間 係 嘞 ！
20, 紅線女 (F/女), 0, 呀 唔該 你 呀吓 ！
21, 羅劍郎 (M/男), 0, 唔 使 唔該 ！
22, 羅劍郎 (M/男), 0, 我 走 嘞 ！
23, 女 (F/女), 0, 你 搵 邊個 呀 ？
24, 紅線女 (F/女), 0, 誒 ～ 唔該 你 我 想 問 下 ， 呢道 係咪 有 一 個 黃若水 喺 處 住 呀 ？
25, 女 (F/女), 0, 係 ！ 不過 佢 而家 返 咗 工 噃 ！
26, 紅線女 (F/女), 0, 哦 ！
27, 女 (F/女), 0, 如果 你 想 搵 佢 ， 你 去 天蓬大酒家 搵 佢 喇 ！
28, 紅線女 (F/女), 0, 我 唔 識 碇 㗎噃 ！
29, 女 (F/女), 0, 唔 識 碇 呀 ？ 呢 ， 就 喺 呢道 咋嘛 ！ 你 直行 過去 ， 最 大 嗰 間 就係 㗎嘞 ！
30, 紅線女 (F/女), 0, 哦 ！ 唔該 你 吓 ！
31, 紅線女 (F/女), 0, 先生 ， 借問 一 聲 ， 呢道 係咪 有 個 黃若水 呀 ？
32, 不明 (X/不明), 0, 黃若水 呀嘛 ？ 有有 ， 喺 裡便 ！
33, 紅線女 (F/女), 0, 唔該 呀吓 ！
34, 伊秋水 (M/男), 1, 收工 落力 抹 檯櫈 ， 收 杯 共 碟 摺 檯櫈 ， 高聲 咁 唱 似 地震 ， 拍擋 做 快樂 無限 ， 收工 夜 靜 我 唔 瞓 ， 皆因 學 着 索油癮 ， 一 拖 再 拍 夾硬 掹 ， 咪 笑罵 我哋 胡混 ！
35, 伊秋水 (M/男), 1, 換 件 衫 為 探 玉人 ， 靠 索 咩 要 講 夠 運 ， 望 住 佢 重 笑吟吟 ， 佢 自然 會 混沌 。
36, 伊秋水 (M/男), 1, 花街 亂 蕩 永 無 禁 ， 專車 大話 我 唔 震 ， 充當 闊少 我 重 掯 ！ 當 佢哋 喪戇愚笨 ！
37, 伊秋水 (M/男), 0, 你 幾 時 出 嚟 㗎 ？
38, 紅線女 (F/女), 0, 正話 到 㗎 ！
39, 伊秋水 (M/男), 0, 啱啱 到 㗎 ？
40, 紅線女 (F/女), 0, 呀 ！
41, 伊秋水 (M/男), 0, 啱 晒 嘞 ！ 我 而家 啱啱 收工 ， 我 同 你 返 去 屋企 慢慢 至 傾 ， 好 唔 好 呀 ？
42, 紅線女 (F/女), 0, 好 呃 ！
43, 伊秋水 (M/男), 0, 我 同 你 挽 吖 ！
44, 紅線女 (F/女), 0, 哦 ！
