Id, Artist, Type, Text
1, 張英才 (M/男), 0, 爸爸 ！ 媽媽 ！
2, 男 (M/男), 0, 阿堯 ！
3, 張英才 (M/男), 0, 嗯 ？ 咩 事 呀 ？
4, 男 (M/男), 0, 我 唔 見 咗 你 都 有 成 …… 個 幾 月 㗎嘞噃 ！
5, 張英才 (M/男), 0, 嗯 …… 冇 咁 耐 啩 ？
6, 男 (M/男), 0, 咩 冇 呀 ？ 嗱 ！ 朝頭早 ， 我 返 公司 呢 ， 你 就 未 起身 喇 ！
7, 張英才 (M/男), 0, 係 …… 我 就 爛瞓 啲 嘅 ……
8, 男 (M/男), 0, 咁 啱 喇 ！ 夜晚 呢 ， 你 就 時時 都 搞 到 呢 個 時候 至 返 嚟 嘅 ！
9, 張英才 (M/男), 0, 欸 ， 我 今晚 早 咗 嘞 ， 爸爸 ！
10, 張英才 (M/男), 0, 係 呢 ， 點解 咁 夜 嘞 ， 你哋 重 唔 抖 呀 ？ 吓 ？
11, 女 (F/女), 0, 佢 特登 等 你 返 嚟 ， 有 說話 同 你 講 㗎 ！
12, 張英才 (M/男), 0, 唏 ！ 爸爸 ， 你 又 何必 噉 呢 ？ 橫掂 我 聽日 打算 出 公司 同 你 攞錢 㗎嘞 ！
13, 男 (M/男), 0, 呀 ！ 我 記得 嘞 ！ 就 係 上 個 月 你 同 我 攞錢 嗰陣 ， 我 見 過 你 ， 一直 到 而家 先至 見 返 你 ！ 噉 點 冇 個 幾 月 呀 ？
14, 女 (F/女), 0, 有 嘞 ！ 有 嘞 ！ 噉 你 快 啲 對 佢 講 喇 ！
15, 男 (M/男), 0, 得 嘞 ！ 唏 ！
16, 男 (M/男), 0, 阿堯 。
17, 張英才 (M/男), 0, 嗯 ？
18, 男 (M/男), 0, 你 一向 都 知道 爸爸 嘅 個性 㗎喇 ！ 我 素來 都 和藹可親 嘅 ！ 除非 真係 激 到 我 爆 咗 嘞 ， 噉 我 先 會 發火 嘅啫 ， 係咪 吖 ？
19, 張英才 (M/男), 0, 係 ～
20, 女 (F/女), 0, 噉 你 就 使乜 向 個 仔 嚟 解釋 呢 ？
21, 男 (M/男), 0, 唏 ！
22, 女 (F/女), 0, 你 快 啲 話 畀 佢 聽 同 佢 娶 老婆 咪 得 囉 ！
23, 張英才 (M/男), 0, 吓 ？ 要 我 娶 老婆 呀 ？
24, 女 (F/女), 0, 係 喎 ！ 阿堯 ， 你 又 係 唔 生性 嘅 …… 咁 大個仔 ， 總 唔 思量 搵 嘢 做 下 ， 成日 識 得 使錢 ！
